date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city,country
2015-01-02 00:00:00,11.1,,,,,,5.4,,,,Islamabad,Pakistan
2015-01-03 00:00:00,11.3,6.7,18.8,,,,1.4,,,,Islamabad,Pakistan
2015-01-04 00:00:00,,,,,,,,,,,Islamabad,Pakistan
2015-01-05 00:00:00,10.9,5.7,17.8,,,,7.4,,,,Islamabad,Pakistan
2015-01-06 00:00:00,11.1,,,,,,8.7,,,,Islamabad,Pakistan
2015-01-07 00:00:00,,,,,,,,,,,Islamabad,Pakistan
2015-01-08 00:00:00,,,,,,,,,,,Islamabad,Pakistan
2015-01-09 00:00:00,10.6,3.7,19.8,,,,5.0,,,,Islamabad,Pakistan
2015-01-10 00:00:00,9.9,,,,,,4.1,,,,Islamabad,Pakistan
2015-01-11 00:00:00,11.7,,,,,,3.4,,,,Islamabad,Pakistan
2015-01-12 00:00:00,9.9,,,,,,9.9,,,,Islamabad,Pakistan
2015-01-13 00:00:00,9.4,,,,,,10.2,,,,Islamabad,Pakistan
2015-01-14 00:00:00,11.9,,,,,,11.1,,,,Islamabad,Pakistan
2015-01-15 00:00:00,12.3,,,,,,4.4,,,,Islamabad,Pakistan
2015-01-16 00:00:00,11.5,,,,,,6.4,,,,Islamabad,Pakistan
2015-01-17 00:00:00,11.5,,,,,,3.8,,,,Islamabad,Pakistan
2015-01-18 00:00:00,11.5,5.8,19.7,,,,6.7,,,,Islamabad,Pakistan
2015-01-19 00:00:00,,,,,,,,,,,Islamabad,Pakistan
2015-01-20 00:00:00,11.7,5.7,17.8,,,,5.8,,,,Islamabad,Pakistan
2015-01-21 00:00:00,9.6,,12.3,0.0,,,16.6,,,,Islamabad,Pakistan
2015-01-22 00:00:00,10.5,,,,,,19.6,,,,Islamabad,Pakistan
2015-01-23 00:00:00,10.1,7.7,12.8,,,,3.4,,,,Islamabad,Pakistan
2015-01-24 00:00:00,9.9,,,,,,3.0,,,,Islamabad,Pakistan
2015-01-25 00:00:00,,,,,,,,,,,Islamabad,Pakistan
2015-01-26 00:00:00,10.4,,,,,,6.4,,,,Islamabad,Pakistan
2015-01-27 00:00:00,9.6,6.2,14.8,,,,11.6,,,,Islamabad,Pakistan
2015-01-28 00:00:00,9.0,,,,,,13.4,,,,Islamabad,Pakistan
2015-01-29 00:00:00,10.0,,,,,,8.9,,,,Islamabad,Pakistan
2015-01-30 00:00:00,9.6,2.8,16.8,,,,12.8,,,,Islamabad,Pakistan
2015-01-31 00:00:00,10.7,,,,,,7.0,,,,Islamabad,Pakistan
2015-02-01 00:00:00,10.4,,17.0,0.0,,,,,,,Islamabad,Pakistan
2015-02-02 00:00:00,11.6,,,,,,17.0,,,,Islamabad,Pakistan
2015-02-03 00:00:00,12.1,,,,,,9.9,,,,Islamabad,Pakistan
2015-02-04 00:00:00,11.9,,,,,,12.5,,,,Islamabad,Pakistan
2015-02-05 00:00:00,12.8,4.7,22.8,,,,5.7,,,,Islamabad,Pakistan
2015-02-06 00:00:00,,,,,,,6.2,,,,Islamabad,Pakistan
2015-02-07 00:00:00,9.8,6.2,13.8,,,,9.9,,,,Islamabad,Pakistan
2015-02-08 00:00:00,12.3,,,,,,6.0,,,,Islamabad,Pakistan
2015-02-09 00:00:00,13.6,5.8,21.8,,,,7.3,,,,Islamabad,Pakistan
2015-02-10 00:00:00,14.0,,,,,,5.7,,,,Islamabad,Pakistan
2015-02-11 00:00:00,14.2,7.7,23.3,,,,5.0,,,,Islamabad,Pakistan
2015-02-12 00:00:00,14.7,,,,,,10.5,,,,Islamabad,Pakistan
2015-02-13 00:00:00,15.5,,,,,,7.8,,,,Islamabad,Pakistan
2015-02-14 00:00:00,16.3,8.7,24.8,,,,13.9,,,,Islamabad,Pakistan
2015-02-15 00:00:00,18.1,,25.3,0.0,,,,,,,Islamabad,Pakistan
2015-02-16 00:00:00,,,,,,,,,,,Islamabad,Pakistan
2015-02-17 00:00:00,,,,,,,,,,,Islamabad,Pakistan
2015-02-18 00:00:00,15.6,,,,,,12.3,,,,Islamabad,Pakistan
2015-02-19 00:00:00,12.6,,,,,,21.9,,,,Islamabad,Pakistan
2015-02-20 00:00:00,12.4,,,,,,13.3,,,,Islamabad,Pakistan
2015-02-21 00:00:00,15.4,,,,,,12.3,,,,Islamabad,Pakistan
2015-02-22 00:00:00,17.5,10.8,24.8,,,,11.5,,,,Islamabad,Pakistan
2015-02-23 00:00:00,18.2,,,,,,6.4,,,,Islamabad,Pakistan
2015-02-24 00:00:00,16.4,,,,,,27.8,,,,Islamabad,Pakistan
2015-02-25 00:00:00,13.8,,,,,,31.1,,,,Islamabad,Pakistan
2015-02-26 00:00:00,12.5,,,,,,22.2,,,,Islamabad,Pakistan
2015-02-27 00:00:00,13.9,8.2,20.8,,,,7.0,,,,Islamabad,Pakistan
2015-02-28 00:00:00,14.3,,,,,,6.5,,,,Islamabad,Pakistan
2015-03-01 00:00:00,12.1,,,,,,14.4,,,,Islamabad,Pakistan
2015-03-02 00:00:00,,,,,,,,,,,Islamabad,Pakistan
2015-03-03 00:00:00,11.4,,15.3,114.0,,,,,,,Islamabad,Pakistan
2015-03-04 00:00:00,12.8,6.8,18.8,,,,7.8,,,,Islamabad,Pakistan
2015-03-05 00:00:00,11.6,,,,,,16.6,,,,Islamabad,Pakistan
2015-03-06 00:00:00,13.0,,,,,,8.5,,,,Islamabad,Pakistan
2015-03-07 00:00:00,10.9,,,,,,16.8,,,,Islamabad,Pakistan
2015-03-08 00:00:00,,,,,,,,,,,Islamabad,Pakistan
2015-03-09 00:00:00,12.7,6.8,19.8,,,,13.9,,,,Islamabad,Pakistan
2015-03-10 00:00:00,,,,,,,10.5,,,,Islamabad,Pakistan
2015-03-11 00:00:00,,,,,,,,,,,Islamabad,Pakistan
2015-03-12 00:00:00,,,,,,,,,,,Islamabad,Pakistan
2015-03-13 00:00:00,17.8,,,,,,8.0,,,,Islamabad,Pakistan
2015-03-14 00:00:00,18.9,11.8,24.8,,,,14.1,,,,Islamabad,Pakistan
2015-03-15 00:00:00,,,,,,,,,,,Islamabad,Pakistan
